volgorde,instantie,titel,type,oorspronkelijke_eigenaar,nieuwe_houder,statuswijziging,hoe,titel_communicatie,ontvanger_communicatie,communicatie_type,contactvorm,gevraagde_actie,aard,aard_toelichting,wanneer,aantal,doelgroep,waarom_eerste_3_maanden,knelpunten,bron
1,KVK,Ambtshalve uitschrijving onderneming,nvt,nvt,nvt,nvt,Automatisch,x,is hier communicatie?,Bevestiging,Brief,Geen,Wet,Algemene Wet Bestuursrecht (AWB),6-8 weken,,"Onderneming: Specifieke beroepsgroepen bij eenmanszaken: balletdansers, consultants..",?,? Misschien dat de erven ongewenst verantwoordelijk zijn voor verplichtingen die op naam staan van bedrijf?,
2,KVK,Handelsregister - up to date,Verplichting,Onderneming/ ondernemer,Onderneming/nabestaanden,Verplichting blijft,Handmatig,x,x,x,x,x,,Voortkomend uit Handelsregister wet. Handelsregister moet correct zijn.,,,,,"In praktijk wordt die verplichting in geval van nabestaanden niet actief opgelegd of opgevolgd maar opgeschort. Over deze verplichting of in gebreke blijven daarbij vindt geen communicatie naar nabestaanden plaats, zij kennen die plicht dus vaak ook niet. Strikt naleven is geen optie, zowel vanuit empathisch als praktisch oogmerk. Er zijn geen negatieve gevolgen voor nabestaanden.",
3,KVK,Handelsregister - up to date,Communicatie,,,,,Contactbrief,Onderneming / nabestaanden,Invormatieverzoek,Brief,Contact opnemen,Beleid,x,6-8 weken,,"Vennoten, mede bestuurders of ergenamen onderneming","Keuze van KVK, reden niet vastgelegd. Eventueel zou de eerste brief later verstuurd kunnen worden, maar daar kleven ook risico’s aan, bijvoorbeeld als het bedrijf een ruimte huurde en deze is al opgezegd en verhuurd aan een ander. De brief komt dan mogelijk niet bij de juiste persoon terecht","Erven en achtergebleven vennoten zijn per direct verantwoordelijk een aansprakelijk voor het opereren van de onderneming. Om te mogen/kunnen handelen moet je als bestuurder zijn ingeschreven. Zonder correcte registratie kunnen problemen ontstaan (met banken, RVO,..) en kan ook UBO niet worden aangepast. Zonder aanpassing in HR zal de onderneming uiteindelijk worden uitgeschreven",
4,KVK,Handelsregister - up to date,Communicatie,,,,,Rappelbrief,Onderneming / nabestaanden,Invormatieverzoek,Brief,Contact opnemen,Beleid,x,10-14 weken,,"Vennoten, mede bestuurders of ergenamen onderneming","Keuze van KVK, reden niet vastgelegd",zie boven,
5,KVK,Wijziging bestuurder vereniging/stichting,Verplichting,Organisatie,Organisatie,Verplichting blijft,Uitschrijven gaat automatisch Inschrijven handmatig,x,x,Verplichte administratieve handeling,Geen,Bestuurders wijzigen,Wet en statuten,"Algemene Wet Bestuursrecht (AWB). Volgens de wet moet een vereniging minimaal een voorzitter, secretaris en penningmeester hebben. Als deze posities niet ingevuld zijn, kan dit juridische problemen veroorzaken",Door bestuurder/nabestaanden te bepalen. Geen ambtshalve actie.,,Bestuurders vereniging/stichting,,,
6,KVK,Uitschrijving overleden bestuurder vereniging/stichting - bestuurder,Communicatie,,,,Doet KVK dit ?,AWB - brief - uitschrijving bestuurder,Nabestaanden,Bevestiging,Brief,"Geen, gaat automatisch?",Wet,Algemene Wet Bestuursrecht (AWB). Wet bepaalt dat deze brief verstuurd moet worden.,?,,Oud (overleden) bestuurder,,"Standaard brief, aanhef en tekst niet passend en niet gericht aan nabestaanden",
7,KVK,Uitschrijving overleden bestuurder vereniging/stichting - organisatie,Communicatie,,,,Doet KVK dit ?,AWB - brief - uitschrijving bestuurder,Organisatie,Bevestiging,Brief,"Geen, gaat automatisch?",Wet,Algemene Wet Bestuursrecht (AWB). Wet bepaalt dat deze brief verstuurd moet worden.,?,,Bestuurders vereniging/stichting,,,
8,KVK,Inschrijving nieuwe bestuurder vereniging/stichting,Verplichting Geen communicatie,Organisatie,Organisatie,,Handmatig,x,Organisatie,Verplichte administratieve handeling,Geen,Inschrijven,Wet en statuten,"Algemene Wet Bestuursrecht (AWB). Volgens de wet moet een vereniging minimaal een voorzitter, secretaris en penningmeester hebben. Als deze posities niet ingevuld zijn, kan dit juridische problemen veroorzaken",Door bestuurder/nabestaanden te bepalen. Geen ambtshalve actie.,,Bestuurders vereniging/stichting,,,
9,KVK,Wijziging UBO,Verplichting,Organisatie,Organisatie,Verplichting blijft,Uitschrijven gaat automatisch Inschrijven handmatig,,,Verplichte administratieve handeling,Geen,Er moet een nieuwe UBO worden ingeschreven,Wet,Algemene Wet Bestuursrecht (AWB),Binnen 7 dagen,,Organisaties,"Deze verplichting is altijd geldig, voor overlijden van een bestuurder wordt geen uitzondering gemaakt.",Als de overledene in het buitenland woont gebeurt uitschrijving niet automatisch.,
10,KVK,Uitschrijving UBO,Communicatie,,,,,AWB - bevestigingsbrief uitschrijving UBO - bestuurder,Nabestaanden,Bevestiging,Brief,Geen,Wet,Algemene Wet Bestuursrecht (AWB). Wet bepaalt dat deze brief verstuurd moet worden.,Na uitschrijving,,Oud (overleden) bestuurder,Wordt verstuurd na uitschrijving volgens AWB.,"Standaard brief, aanhef en tekst niet passend en niet gericht aan nabestaanden","UBO's zijn de uiteindelijke eigenaren of personen die mogen beslissen in een organisatie. Denk aan mensen die meer dan 25% van de aandelen hebben in een bv. Of mensen die meer dan 25% eigenaar zijn van een vof of maatschap, of meer dan 25% stemrecht bij een statutenwijziging van een stichting of vereniging. Heeft niemand zo'n belang van meer dan 25%? Dan zijn de hoger leidinggevende(n), bijvoorbeeld de vennoten of de statutaire bestuurders, de UBO's. Iedere UBO-plichtige organisatie heeft één of meer UBO's."
11,KVK,Uitschrijving UBO,Communicatie,,,,,AWB - bevestigingsbrief uitschrijving UBO - organisatie,Organisatie,Bevestiging,Brief,Geen,Wet,Algemene Wet Bestuursrecht (AWB). Wet bepaalt dat deze brief verstuurd moet worden.,Na uitschrijving,,Organisaties,Wordt verstuurd na uitschrijving volgens AWB.,,"UBO's zijn de uiteindelijke eigenaren of personen die mogen beslissen in een organisatie. Denk aan mensen die meer dan 25% van de aandelen hebben in een bv. Of mensen die meer dan 25% eigenaar zijn van een vof of maatschap, of meer dan 25% stemrecht bij een statutenwijziging van een stichting of vereniging. Heeft niemand zo'n belang van meer dan 25%? Dan zijn de hoger leidinggevende(n), bijvoorbeeld de vennoten of de statutaire bestuurders, de UBO's. Iedere UBO-plichtige organisatie heeft één of meer UBO's."
12,KVK,Inschrijving nieuwe UBO,Verplichting Geen communicatie,Organisatie,Organisatie,Verplichting blijft,Handmatig,,,Verplichte administratieve handeling,Geen,Wijziging/opgave doorgeven,Wet,Algemene Wet Bestuursrecht (AWB),Binnen 7 dagen,,Organisaties,"Deze verplichting is altijd geldig, voor overlijden van een bestuurder wordt geen uitzondering gemaakt.","Het niet (juist) geregistreerd hebben staan van UBO’s is een economisch delict. Problemen met inschrijven nieuwe bestuurder als oude nog niet is uitgeschreven in Handelsregister. Er wordt niet actief over gecommuniceerd vanuit KVK, maar heeft ook geen negatieve gevolgen in de vorm van boetes o.i.d. bij nabestaanden Als de nieuwe UBO niet is geregistreerd, kan er geen eigen UBO-uittreksel opgevraagd worden, terwijl dat vaak wel verlangd wordt door o.a. banken in het kader van het wijzigen van de tenaamstelling van de zakelijke rekening van de overleden ondernemer/diens bedrijf.",
13,KVK,Abonnementen,Verplichting,Organisatie,Organisatie,"Verplichting blijft, maar kan worden opgezegd",Handmatig,,,Betalingsverplichting,,,Contract,,,,,,,
14,KVK,Abonnementen,Verplichting,Organisatie,Organisatie,"Verplichting blijft, maar kan worden opgezegd",Handmatig,Factuur voor bepaalde abonnementen,Organisatie,Betaling,Factuur (brief of digitaal?),Betaling,Contract,"Systeem weet niet dat contactpersoon is overleden, CRM heeft geen koppeling met BRP",Afhankelijk van factuurdatum,,Organisaties,Gaat automatisch,Incasso als er niet wordt betaald. Standaard factuur gericht aan overledene,
15,Belastingdienst (Algemeen),Gegevens nabestaanden/erven nodig,Verzoek,nvt,nvt,nvt,Handmatig,,,,,,,,,,,,,
16,Belastingdienst (Algemeen),Vragenbrief contactpersoon,Communicatie,,,,,Vragenbrief contactpersoon,Nabestaanden,Informatieverzoek,Brief plus antwoordformulier,Doorgeven van 1 contactpersoon als ontvanger van alle post vanuit de Belastingdienst voor de overledene.,Wet,"Ieder fiscaal besluit, met betrekking de heffing en invordering van belastingen of tegemoetkomingen op grond van inkomensafhankelijke regelingen, moet direct kenbaar worden gemaakt (en dus bestemd kunnen worden). De berichtenbox van de overledene is niet toegankelijk voor de nabestaanden. De regeling EBV schrijft voor dat met nabestaanden anders dan via de elektronische weg (dus bijv. per brief) gecommuniceerd moet worden.",2-4 weken,187.500 per jaar,"Particulieren, nabestaanden",Omdat de heffing (incl. inning) en invordering termijnen kennen. Deze gaan lopen vanaf datum dagtekening fiscaal besluit/bekendmaking of een in de brief aangegeven datum.,"Post wordt welliswaar verzonden, in dat geval naar het laatst bekende woon-/postadres van de overledene, maar in veel gevallen is dan onzeker of deze de nabestaanden ook (tijdig) bereikt, waardoor mogelijk kans op aangifte- of betaalverzuim (incl. boete of heffingsrente).",https://wetten.overheid.nl/BWBR0037127/2024-07-25
